site_id	occurrence_count	joint_class_id	raw_class_id	ica_class_id	ls_class_id	amplitude_sensitivity_class_id	all_stages_agree
b004_c03@x275_y227	1	1	1	1	1	1	True
b004_c07@x456_y127	1	1	1	1	1	2	True
b004_c08@x398_y80	1	1	1	1	1	2	True
b004_c15@x344_y252	1	1	1	1	1	2	True
b005_c02@x367_y220	1	2	2	1	1	2	False
b006_c03@x452_y87	1	2	1	2	2	2	False
b006_c05@x273_y160	1	2	2	1	2	2	False
b006_c06@x496_y139	1	2	2	1	1	2	False
b006_c07@x404_y138	1	2	2	1	1	2	False
b006_c09@x404_y139	1	1	1	1	1	1	True
b006_c13@x336_y119	1	1	1	1	1	1	True
b006_c14@x400_y49	1	1	1	1	1	1	True
b006_c16@x404_y136	1	1	1	1	1	1	True
roi_001@x425_y222	4	1	1	1	1	1	True
roi_002@x438_y208	4	1	1	1	1	1	True
roi_003@x406_y217	4	1	1	1	1	1	True
roi_004@x391_y223	4	1	1	1	1	1	True
roi_005@x386_y193	4	1	1	1	1	1	True
roi_006@x407_y243	2	2	1	2	2	2	False
roi_007@x479_y229	2	1	1	1	1	2	True
roi_008@x401_y259	1	2	1	2	2	2	False
roi_009@x351_y170	4	1	1	1	1	1	True
roi_010@x389_y139	4	1	1	1	1	2	True
roi_011@x420_y143	4	1	1	1	1	2	True
roi_012@x441_y158	4	1	1	1	1	2	True
roi_013@x447_y146	4	1	1	1	1	1	True
roi_014@x483_y139	4	1	1	1	1	2	True
roi_015@x389_y142	4	1	1	1	1	2	True
roi_016@x388_y285	3	1	1	1	1	1	True
roi_018@x472_y202	3	1	1	1	1	1	True
roi_019@x491_y213	2	1	1	1	1	2	True
roi_021@x369_y218	2	1	1	1	1	1	True
roi_022@x351_y224	1	2	1	1	1	2	True
roi_023@x337_y209	2	2	1	2	2	2	False
roi_024@x355_y153	2	1	1	1	1	1	True
roi_025@x364_y130	1	1	1	1	1	2	True
roi_026@x338_y203	1	1	1	1	1	1	True
roi_027@x385_y205	1	1	1	1	1	1	True
roi_new_001@x428_y146	4	1	1	1	1	1	True
roi_new_002@x437_y153	3	1	1	1	1	1	True
roi_new_003@x468_y143	3	1	1	1	1	2	True
roi_new_003@x470_y142	1	1	1	1	1	1	True
roi_new_004@x338_y238	1	2	2	1	1	1	False
roi_new_005@x445_y172	3	1	1	1	1	2	True
roi_new_006@x407_y170	1	1	1	1	1	2	True
roi_new_006@x408_y168	2	2	2	1	1	2	False
roi_new_007@x422_y68	1	1	1	1	1	2	True
roi_new_010@x423_y138	1	1	1	1	1	1	True
roi_new_011@x338_y103	1	2	2	1	1	1	False
roi_new_012@x388_y146	1	1	1	1	1	1	True
