observation_id	site_id	burst_id	training_class_id	heldout_class_id	full_joint_class_id	agreement_with_training_class	agreement_with_full_joint_class	centroid_margin	nearest_distance	second_distance	training_sites	pca_components
b01__roi_003	roi_003@x406_y217	1	2	2	1	1	0	0.0587539221827776	1.1072957415322129	1.2455336994150343	43	18
b01__roi_013	roi_013@x447_y146	1	2	2	1	1	0	0.08888733588813122	0.9969823739201159	1.191511789734157	43	18
b01__roi_001	roi_001@x425_y222	1	2	2	1	1	0	0.046444938843998626	1.0729782853816916	1.1775016902181146	43	18
b01__roi_005	roi_005@x386_y193	1	2	1	1	0	1	0.04803192978618385	1.092033171737998	1.2022311127621044	43	18
b01__roi_new_002	roi_new_002@x437_y153	1	2	2	1	1	0	0.060664490740810276	1.105426644433451	1.2482087361884953	43	18
b01__roi_new_001	roi_new_001@x428_y146	1	2	2	1	1	0	0.03348132653667581	0.9815611310061942	1.0495659603907783	43	18
b01__roi_002	roi_002@x438_y208	1	2	2	1	1	0	0.04800927254781614	1.0223979644446517	1.1255178396954222	43	18
b01__roi_new_003	roi_new_003@x468_y143	1	2	2	1	1	0	0.07411305203229539	1.0486990501325366	1.2165862580456122	43	18
b01__roi_014	roi_014@x483_y139	1	2	2	1	1	0	0.04615825977576763	1.0773700172505434	1.1816420846884945	43	18
b01__roi_004	roi_004@x391_y223	1	2	1	1	0	1	0.040178595395941055	1.1294480401732108	1.2240065395131956	43	18
b01__roi_012	roi_012@x441_y158	1	2	2	1	1	0	0.08377520053162646	0.7616764482853117	0.9009645296216507	43	18
b01__roi_010	roi_010@x389_y139	1	2	2	1	1	0	0.09073465709914572	0.8873139141322441	1.064402207151929	43	18
b01__roi_new_005	roi_new_005@x445_y172	1	2	1	1	0	1	0.025657699715409793	1.0908316655837667	1.1482821761639734	43	18
b01__roi_015	roi_015@x389_y142	1	2	2	1	1	0	0.09802254609290753	1.1716403203776158	1.4262967240628515	43	18
b01__roi_011	roi_011@x420_y143	1	2	2	1	1	0	0.04841908898000792	1.0034266425220417	1.1055409311265318	43	18
b01__roi_006	roi_006@x407_y243	1	2	2	2	1	1	0.12930082401209278	1.386728579506519	1.7985933267263252	43	18
b01__roi_009	roi_009@x351_y170	1	2	2	1	1	0	0.08236262322343162	0.9102991852224273	1.0737071516164727	43	18
b02__roi_001	roi_001@x425_y222	2	1	2	1	0	0	0.05284639379037763	1.3188838718748497	1.466058007094216	46	18
b02__roi_003	roi_003@x406_y217	2	1	2	1	0	0	0.11986093307612165	1.2347315382986674	1.5710331066321934	46	18
b02__roi_013	roi_013@x447_y146	2	1	2	1	0	0	0.008828837781035883	1.306407690167729	1.3296812921691663	46	18
b02__roi_new_002	roi_new_002@x437_y153	2	1	1	1	1	1	0.17109921114691354	1.0842316902713744	1.5318393880820764	46	18
b02__roi_005	roi_005@x386_y193	2	1	2	1	0	0	0.059064400058054696	1.2577547453423248	1.4156582819040806	46	18
b02__roi_004	roi_004@x391_y223	2	1	1	1	1	1	0.132726293084954	1.0976694812307624	1.4336409285712755	46	18
b02__roi_new_001	roi_new_001@x428_y146	2	1	2	1	0	0	0.25896650299041174	1.0185208432177102	1.7303990027218883	46	18
b02__roi_002	roi_002@x438_y208	2	1	2	1	0	0	0.024447146717087538	1.360812309232704	1.429015642483773	46	18
b02__roi_016	roi_016@x388_y285	2	1	1	1	1	1	0.1371912117689249	1.1674189205029657	1.5386706243114048	46	18
b02__roi_new_005	roi_new_005@x445_y172	2	1	2	1	0	0	0.06456907088899246	1.1967578371932894	1.3619726899888036	46	18
b02__roi_018	roi_018@x472_y202	2	1	2	1	0	0	0.18152914157714856	1.1977764276616127	1.729087529278169	46	18
b02__roi_new_003	roi_new_003@x468_y143	2	1	2	1	0	0	0.053443996751971395	1.3224718540909863	1.4718094130565682	46	18
b02__roi_new_006	roi_new_006@x408_y168	2	1	2	2	0	1	0.07482795746931116	1.320261884674677	1.533827568922101	46	18
b02__roi_009	roi_009@x351_y170	2	1	2	1	0	0	0.24815950169344797	1.047365645310738	1.738772232789609	46	18
b02__roi_014	roi_014@x483_y139	2	1	1	1	1	1	0.11133370993135956	1.1091320150143287	1.3870401193618165	46	18
b02__roi_015	roi_015@x389_y142	2	1	1	1	1	1	0.14910661489770194	1.0489423009224015	1.4165658797443637	46	18
b02__roi_011	roi_011@x420_y143	2	1	2	1	0	0	0.144196603349412	1.235789187466006	1.6522320386769718	46	18
b02__roi_010	roi_010@x389_y139	2	1	1	1	1	1	0.08275862660953981	1.2805201998192723	1.5115915320927802	46	18
b02__roi_012	roi_012@x441_y158	2	1	1	1	1	1	0.08832339188660258	1.2430038604451268	1.483848730447634	46	18
b03__roi_003	roi_003@x406_y217	3	1	1	1	1	1	0.19667765931550577	0.7354847248876911	1.0956226342356672	48	21
b03__roi_001	roi_001@x425_y222	3	1	1	1	1	1	0.12636645980556915	0.822440542828748	1.0603638711267271	48	21
b03__roi_013	roi_013@x447_y146	3	1	1	1	1	1	0.2530102998038867	0.7134359818262278	1.1967268534553033	48	21
b03__roi_005	roi_005@x386_y193	3	1	2	1	0	0	0.0950363174161439	0.7759802679956249	0.9389620726297808	48	21
b03__roi_004	roi_004@x391_y223	3	1	2	1	0	0	0.18882292348143973	0.6898281664770807	1.010979675474778	48	21
b03__roi_009	roi_009@x351_y170	3	1	2	1	0	0	0.1308308089871204	0.8222296405622332	1.0697602022993613	48	21
b03__roi_new_002	roi_new_002@x437_y153	3	1	1	1	1	1	0.18419572342393903	0.7499352336593996	1.0885823009801041	48	21
b03__roi_new_003	roi_new_003@x468_y143	3	1	1	1	1	1	0.1679748637445584	0.7072553013834197	0.992826272032814	48	21
b03__roi_002	roi_002@x438_y208	3	1	1	1	1	1	0.12631134306042144	0.8106703662615338	1.0450716302095506	48	21
b03__roi_018	roi_018@x472_y202	3	1	2	1	0	0	0.07870545322978259	0.8125606199426137	0.9513934223150923	48	21
b03__roi_new_001	roi_new_001@x428_y146	3	1	1	1	1	1	0.10226404499063528	0.8360001777448715	1.0264632182682734	48	21
b03__roi_new_005	roi_new_005@x445_y172	3	1	1	1	1	1	0.13752586992899576	0.8537738831195852	1.1260510260620178	48	21
b03__roi_015	roi_015@x389_y142	3	1	1	1	1	1	0.15606011435681896	0.8035891939060913	1.1007862422512844	48	21
b03__roi_014	roi_014@x483_y139	3	1	1	1	1	1	0.21755117243795674	0.9436262391144972	1.4683557483970946	48	21
b03__roi_011	roi_011@x420_y143	3	1	1	1	1	1	0.18334876596214886	0.695832571780997	1.0082793986145253	48	21
b03__roi_new_006	roi_new_006@x408_y168	3	1	1	2	1	0	0.0052234771422426125	0.8398360846379295	0.8486558838401401	48	21
b03__roi_016	roi_016@x388_y285	3	1	2	1	0	0	0.08075505835500169	0.8294295665856749	0.9751592410534349	48	21
b03__roi_024	roi_024@x355_y153	3	2	2	1	1	0	0.11679140711511152	0.7096686265434544	0.8973552005809411	48	21
b03__roi_010	roi_010@x389_y139	3	1	2	1	0	0	0.08187923506334864	0.779836910783121	0.9189307035992185	48	21
b03__roi_021	roi_021@x369_y218	3	2	2	1	1	0	0.282672856287141	0.5723240444118292	1.0233887330236997	48	21
b03__roi_019	roi_019@x491_y213	3	2	1	1	0	1	0.1659280246533155	0.7323194937319292	1.0236908156364473	48	21
b03__roi_012	roi_012@x441_y158	3	1	1	1	1	1	0.016163663801635392	0.806658934793181	0.8331644893145206	48	21
b03__roi_007	roi_007@x479_y229	3	1	1	1	1	1	0.04533348024679465	0.7648756757618954	0.8375177463089847	48	21
b03__roi_023	roi_023@x337_y209	3	1	1	2	1	0	0.15896596982043848	1.0492170762279864	1.4458474243227395	48	21
b04__roi_003	roi_003@x406_y217	4	1	1	1	1	1	0.300969453283361	0.9701903796427417	1.8056264546855907	38	17
b04__roi_001	roi_001@x425_y222	4	1	1	1	1	1	0.31774247527447386	0.9701258643901107	1.8737441677668922	38	17
