site_id	y_px	x_px	component_0_energy_fraction	component_1_energy_fraction	component_2_energy_fraction	component_3_energy_fraction	component_4_energy_fraction	component_5_energy_fraction
b004_c03@x275_y227	227	275	0.1522338981328324	0.24493710613376132	0.1671600907449197	0.19630306542221893	0.07520846358698591	0.16415737597928176
b004_c07@x456_y127	127	456	0.16370229823248564	0.08505986145564834	0.2192688606826561	0.1881486365458995	0.17383607325457953	0.1699842698287309
b004_c08@x398_y80	80	398	0.16688071705189586	0.20059851664421494	0.19032340552540344	0.1652512551560752	0.12059182722107946	0.15635427840133112
b004_c15@x344_y252	252	344	0.1862056439417491	0.20976381510772482	0.13667795598782684	0.17728825275288287	0.13026220423822277	0.15980212797159365
b005_c02@x367_y220	220	367	0.1636279191325079	0.08540523961027328	0.24495164079783294	0.1839681255724172	0.1611722890722134	0.16087478581475528
b006_c03@x452_y87	87	452	0.17069083672338145	0.11920763524861232	0.20673774319026167	0.16022733540507916	0.18026521977237753	0.1628712296602878
b006_c05@x273_y160	160	273	0.1616962229410006	0.2604852558174592	0.14214280110537852	0.17543960029105932	0.08993032477348505	0.17030579507161728
b006_c06@x496_y139	139	496	0.15349989327206087	0.08029681586974353	0.2457129654341393	0.18478388445102273	0.1766943071826271	0.1590121337904065
b006_c07@x404_y138	138	404	0.16185663222064325	0.08162299170720001	0.25652431581066015	0.19072826880996868	0.16061679843514545	0.14865099301638252
b006_c09@x404_y139	139	404	0.1570658517856688	0.08869914494610844	0.25326902920088445	0.18529059341085619	0.16824660135818748	0.1474287792982947
b006_c13@x336_y119	119	336	0.17499457129685947	0.22925939205615406	0.13727699325729845	0.1644255492883772	0.11961815660411479	0.1744253374971961
b006_c14@x400_y49	49	400	0.16797362927498805	0.11219342183517982	0.21565978364134616	0.18520045524205486	0.1662115766434765	0.1527611333629546
b006_c16@x404_y136	136	404	0.18981650800303104	0.08058656799940651	0.22230929499923208	0.1702317827695763	0.18553175653465293	0.15152408969410117
roi_001@x425_y222	222	425	0.13607566408696892	0.11151433431700933	0.26968441146746747	0.20223385329297047	0.148763016872315	0.13172871996326885
roi_002@x438_y208	208	438	0.1503162253454296	0.09869388878950937	0.26118575626145796	0.2059409128018554	0.15107513387547594	0.13278808292627173
roi_003@x406_y217	217	406	0.1358228772586667	0.12151094805806521	0.27257862438250696	0.1957788158927792	0.13815007805923363	0.1361586563487483
roi_004@x391_y223	223	391	0.15120947093010614	0.10469106773725842	0.25924353236156583	0.19138681568236854	0.15052675187551143	0.14294236141318964
roi_005@x386_y193	193	386	0.15089251344348925	0.09357283427658493	0.2610627127621994	0.1988453617549598	0.16335088135914613	0.13227569640362047
roi_006@x407_y243	243	407	0.17403613184285033	0.09662147230272178	0.2237517594556471	0.17429394253925626	0.18343584136446608	0.14786085249505843
roi_007@x479_y229	229	479	0.16946430669864673	0.08379866078220873	0.22277696140557482	0.19261658066004236	0.18310538717118255	0.14823810328234477
roi_008@x401_y259	259	401	0.1820489213820533	0.10214702646526312	0.19614387528671473	0.17344805483091172	0.18729581268564358	0.15891630934941361
roi_009@x351_y170	170	351	0.17320667416645624	0.09247255156236608	0.2561542914000734	0.17007622731352962	0.15768587485506502	0.15040438070250964
roi_010@x389_y139	139	389	0.16947350893889235	0.07850268890942522	0.22354021862025325	0.1790954586880208	0.20072890661603995	0.14865921822736847
