cohort	detection_occurrence_id	detection_site_id	burst_id	class_id	certainty_group	observation_id	canonical_roi_id	reviewer_provenance	match_distance_px	association_status	selection_note	neuron_confidence	disposition	morphology	morphology_group	context	context_group	relative_distance_margin	ambiguous_lowest_margin_quartile
canonical_v7_adjudicated	b01__det_007	dsite_017	1	1	confirmed	b01__roi_new_002	roi_new_002	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.5213916414116283	False
canonical_v7_adjudicated	b01__det_008	dsite_015	1	1	confirmed	b01__roi_new_001	roi_new_001	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.568059797188271	False
canonical_v7_adjudicated	b01__det_010	dsite_012	1	3	confirmed	b01__roi_new_003	roi_new_003	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.08674331087248952	True
canonical_v7_adjudicated	b01__det_014	dsite_032	1	1	confirmed	b01__b004_c03	roi_new_015	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.12611426727177832	True
canonical_v7_adjudicated	b01__det_015	dsite_023	1	3	confirmed	b01__roi_new_005	roi_new_005	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.5387145294506056	False
canonical_v7_adjudicated	b01__det_016	dsite_007	1	3	identity uncertain	b01__b004_c06	roi_new_018	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	uncertain	activity_visible_identity_uncertain	localized_center	localized boundary	isolated	isolated	0.5709095630140227	False
canonical_v7_adjudicated	b01__det_018	dsite_002	1	3	confirmed	b01__roi_new_007	roi_new_007	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.4053070525736311	False
canonical_v7_adjudicated	b01__det_019	dsite_021	1	3	confirmed	b01__roi_new_006	roi_new_006	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.5809749451460088	False
canonical_v7_adjudicated	b01__det_021	dsite_034	1	3	identity uncertain	b01__b004_c02	roi_new_014	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	uncertain	activity_visible_identity_uncertain	spatially_cohesive	localized boundary	global_baseline_increase	challenging/structured context	0.1817869917465673	True
canonical_v7_adjudicated	b01__det_022	dsite_003	1	3	confirmed	b01__b004_c08	roi_new_019	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	high_baseline	challenging/structured context	0.16738822883119114	True
canonical_v7_adjudicated	b01__det_023	dsite_026	1	3	identity uncertain	b01__b004_c04	roi_new_016	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	uncertain	activity_visible_identity_uncertain	spatially_cohesive	localized boundary	isolated	isolated	0.5170672559231659	False
canonical_v7_adjudicated	b02__det_005	dsite_017	2	1	confirmed	b02__roi_new_002	roi_new_002	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.5818689773865972	False
canonical_v7_adjudicated	b02__det_007	dsite_015	2	1	confirmed	b02__roi_new_001	roi_new_001	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.27249120216043515	True
canonical_v7_adjudicated	b02__det_012	dsite_021	2	3	confirmed	b02__roi_new_006	roi_new_006	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.5966077298824038	False
canonical_v7_adjudicated	b02__det_015	dsite_006	2	3	identity uncertain	b02__roi_new_008	roi_new_008	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	uncertain	activity_visible_identity_uncertain	unresolved	ambiguous/non-neuronal boundary	isolated	isolated	0.5210424177225049	False
canonical_v7_adjudicated	b02__det_016	dsite_001	2	3	identity uncertain	b02__b004_c09	roi_new_020	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	uncertain	activity_visible_identity_uncertain	spatially_cohesive	localized boundary	high_background	challenging/structured context	0.3413565228957865	False
canonical_v7_adjudicated	b02__det_020	dsite_029	2	3	confirmed	b02__b005_c02	roi_021	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	weak_signal	challenging/structured context	0.29969772406296447	True
canonical_v7_adjudicated	b03__det_007	dsite_015	3	1	confirmed	b03__roi_new_001	roi_new_001	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.32015358524593257	False
canonical_v7_adjudicated	b03__det_011	dsite_012	3	3	confirmed	b03__roi_new_003	roi_new_003	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.36335564700744094	False
canonical_v7_adjudicated	b03__det_013	dsite_008	3	2	identity uncertain	b03__roi_new_009	roi_new_009	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	uncertain	activity_visible_identity_uncertain	unresolved	ambiguous/non-neuronal boundary	skin_boundary	challenging/structured context	0.5055545093509701	False
canonical_v7_adjudicated	b03__det_016	dsite_021	3	3	confirmed	b03__roi_new_006	roi_new_006	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.5923105758004599	False
canonical_v7_adjudicated	b03__det_021	dsite_023	3	3	confirmed	b03__roi_new_005	roi_new_005	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.4784734668840118	False
canonical_v7_adjudicated	b04__det_008	dsite_015	4	1	confirmed	b04__roi_new_001	roi_new_001	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.19470391021763997	True
canonical_v7_adjudicated	b04__det_010	dsite_009	4	3	confirmed	b04__roi_new_010	roi_new_010	Yinong	0.0	post_freeze_descriptive	v7 candidate-assisted adjudicated	confirmed	confirmed_neuron	localized_center	localized boundary	isolated	isolated	0.4738797459397167	False
