feature_id	burst_id	occurrences	median_event_localization_percentile
raw_center	1	24	1.0
raw_center	2	23	1.0
raw_center	3	26	1.0
raw_center	4	33	1.0
ica_center	1	24	1.0
ica_center	2	23	1.0
ica_center	3	26	1.0
ica_center	4	33	1.0
ls_center	1	24	1.0
ls_center	2	23	1.0
ls_center	3	26	1.0
ls_center	4	33	1.0
raw_center_annulus	1	24	0.9731404958677685
raw_center_annulus	2	23	1.0
raw_center_annulus	3	26	1.0
raw_center_annulus	4	33	1.0
vst_center_annulus	1	24	0.9669421487603306
vst_center_annulus	2	23	1.0
vst_center_annulus	3	26	1.0
vst_center_annulus	4	33	1.0
matched_filter_ls	1	24	1.0
matched_filter_ls	2	23	1.0
matched_filter_ls	3	26	1.0
matched_filter_ls	4	33	1.0
carrier_signed	1	24	1.0
carrier_signed	2	23	1.0
carrier_signed	3	26	1.0
carrier_signed	4	33	1.0
coherence_w15	1	24	1.0
coherence_w15	2	23	1.0
coherence_w15	3	26	1.0
coherence_w15	4	33	1.0
propagation_lag2_w15	1	24	1.0
propagation_lag2_w15	2	23	1.0
propagation_lag2_w15	3	26	1.0
propagation_lag2_w15	4	33	1.0
representation_consensus	1	24	1.0
representation_consensus	2	23	1.0
representation_consensus	3	26	1.0
representation_consensus	4	33	1.0
multiscale_persistence	1	24	1.0
multiscale_persistence	2	23	1.0
multiscale_persistence	3	26	1.0
multiscale_persistence	4	33	1.0
