feature_id	burst_a	burst_b	shared_sites	spearman_rho
raw_center	1	2	16	nan
raw_center	1	3	16	nan
raw_center	1	4	14	nan
raw_center	2	3	19	nan
raw_center	2	4	15	nan
raw_center	3	4	20	nan
ica_center	1	2	16	nan
ica_center	1	3	16	nan
ica_center	1	4	14	nan
ica_center	2	3	19	nan
ica_center	2	4	15	nan
ica_center	3	4	20	nan
ls_center	1	2	16	0.32212008459196656
ls_center	1	3	16	nan
ls_center	1	4	14	nan
ls_center	2	3	19	nan
ls_center	2	4	15	nan
ls_center	3	4	20	0.7254762501100117
raw_center_annulus	1	2	16	0.3470127883406261
raw_center_annulus	1	3	16	0.3086923577263238
raw_center_annulus	1	4	14	0.07879688507092225
raw_center_annulus	2	3	19	0.7604092605729609
raw_center_annulus	2	4	15	0.4078321004042264
raw_center_annulus	3	4	20	0.8521140901605528
vst_center_annulus	1	2	16	0.34282802671400875
vst_center_annulus	1	3	16	0.24056714774534205
vst_center_annulus	1	4	14	0.004298011912959396
vst_center_annulus	2	3	19	0.8770103549577306
vst_center_annulus	2	4	15	0.6415381298410651
vst_center_annulus	3	4	20	0.8521140901605528
matched_filter_ls	1	2	16	nan
matched_filter_ls	1	3	16	nan
matched_filter_ls	1	4	14	nan
matched_filter_ls	2	3	19	nan
matched_filter_ls	2	4	15	nan
matched_filter_ls	3	4	20	nan
carrier_signed	1	2	16	nan
carrier_signed	1	3	16	nan
carrier_signed	1	4	14	nan
carrier_signed	2	3	19	nan
carrier_signed	2	4	15	nan
carrier_signed	3	4	20	nan
coherence_w15	1	2	16	nan
coherence_w15	1	3	16	nan
coherence_w15	1	4	14	nan
coherence_w15	2	3	19	nan
coherence_w15	2	4	15	nan
coherence_w15	3	4	20	nan
propagation_lag2_w15	1	2	16	nan
propagation_lag2_w15	1	3	16	nan
propagation_lag2_w15	1	4	14	nan
propagation_lag2_w15	2	3	19	nan
propagation_lag2_w15	2	4	15	nan
propagation_lag2_w15	3	4	20	nan
representation_consensus	1	2	16	0.6329238442281919
representation_consensus	1	3	16	nan
representation_consensus	1	4	14	nan
representation_consensus	2	3	19	nan
representation_consensus	2	4	15	nan
representation_consensus	3	4	20	nan
multiscale_persistence	1	2	16	nan
multiscale_persistence	1	3	16	nan
multiscale_persistence	1	4	14	nan
multiscale_persistence	2	3	19	nan
multiscale_persistence	2	4	15	nan
multiscale_persistence	3	4	20	0.6491103290457999
