stage	stage_x	stage_y	stage_dx	stage_dy	stage_distance_px	mean_pairwise_direction_cosine	offset_vector_spread_px	consensus_x	consensus_y	observation_id	v8_outcome	identity_status
raw	386	144	-3	2	3.605551275463989	0.9765092141584882	0.4444444444444444	386	144	b04__roi_015	identity_collision	other_identity_collision
cs_parzen_ica	386	143	-3	1	3.1622776601683795	0.9765092141584882	0.4444444444444444	386	144	b04__roi_015	identity_collision	other_identity_collision
local_standardization	386	144	-3	2	3.605551275463989	0.9765092141584882	0.4444444444444444	386	144	b04__roi_015	identity_collision	other_identity_collision
raw	423	146	3	3	4.242640687119285	-0.11263936468911766	3.4437225387556865	424	147	b04__roi_011	identity_collision	other_identity_collision
cs_parzen_ica	425	147	5	4	6.4031242374328485	-0.11263936468911766	3.4437225387556865	424	147	b04__roi_011	identity_collision	other_identity_collision
local_standardization	420	140	0	-3	3.0	-0.11263936468911766	3.4437225387556865	424	147	b04__roi_011	identity_collision	other_identity_collision
raw	424	146	4	3	5.0	0.9671502289294339	0.9249505911485287	422	146	b03__roi_011	identity_collision	other_identity_collision
cs_parzen_ica	422	146	2	3	3.605551275463989	0.9671502289294339	0.9249505911485287	422	146	b03__roi_011	identity_collision	other_identity_collision
local_standardization	423	147	3	4	5.0	0.9671502289294339	0.9249505911485287	422	146	b03__roi_011	identity_collision	other_identity_collision
raw	386	143	-3	4	5.0	1.0	0.0	386	143	b03__roi_010	identity_collision	same_canonical_identity_collision
cs_parzen_ica	386	143	-3	4	5.0	1.0	0.0	386	143	b03__roi_010	identity_collision	same_canonical_identity_collision
local_standardization	386	143	-3	4	5.0	1.0	0.0	386	143	b03__roi_010	identity_collision	same_canonical_identity_collision
raw	391	140	2	-2	2.8284271247461903	0.9460966866787053	1.3333333333333333	391	137	b01__roi_015	identity_collision	same_canonical_identity_collision
cs_parzen_ica	391	137	2	-5	5.385164807134504	0.9460966866787053	1.3333333333333333	391	137	b01__roi_015	identity_collision	same_canonical_identity_collision
local_standardization	391	137	2	-5	5.385164807134504	0.9460966866787053	1.3333333333333333	391	137	b01__roi_015	identity_collision	same_canonical_identity_collision
raw	349	221	-2	-3	3.605551275463989	-0.04004335273686266	2.4860570361091203	350	226	b03__roi_022	identity_clear_miss	identity_clear_within_6px
cs_parzen_ica	350	227	-1	3	3.1622776601683795	-0.04004335273686266	2.4860570361091203	350	226	b03__roi_022	identity_clear_miss	identity_clear_within_6px
local_standardization	350	226	-1	2	2.23606797749979	-0.04004335273686266	2.4860570361091203	350	226	b03__roi_022	identity_clear_miss	identity_clear_within_6px
raw	487	212	-4	-1	4.123105625617661	1.0	0.0	487	212	b03__roi_019	identity_clear_miss	identity_clear_within_6px
cs_parzen_ica	487	212	-4	-1	4.123105625617661	1.0	0.0	487	212	b03__roi_019	identity_clear_miss	identity_clear_within_6px
local_standardization	487	212	-4	-1	4.123105625617661	1.0	0.0	487	212	b03__roi_019	identity_clear_miss	identity_clear_within_6px
raw	382	200	-3	-5	5.830951894845301	-0.33015474149693724	3.088180600655644	382	200	b04__roi_027	identity_clear_miss	identity_clear_within_6px
cs_parzen_ica	383	202	-2	-3	3.605551275463989	-0.33015474149693724	3.088180600655644	382	200	b04__roi_027	identity_clear_miss	identity_clear_within_6px
local_standardization	386	207	1	2	2.23606797749979	-0.33015474149693724	3.088180600655644	382	200	b04__roi_027	identity_clear_miss	identity_clear_within_6px
raw	423	146	3	3	4.242640687119285	0.9972621376451362	1.6024672335395505	423	146	b02__roi_011	identity_collision	other_identity_collision
cs_parzen_ica	423	146	3	3	4.242640687119285	0.9972621376451362	1.6024672335395505	423	146	b02__roi_011	identity_collision	other_identity_collision
local_standardization	426	148	6	5	7.810249675906654	0.9972621376451362	1.6024672335395505	423	146	b02__roi_011	identity_collision	other_identity_collision
raw	369	127	5	-3	5.830951894845301	0.9369235478655197	1.1783945861626655	368	125	b04__roi_025	identity_clear_miss	identity_clear_within_6px
cs_parzen_ica	368	125	4	-5	6.4031242374328485	0.9369235478655197	1.1783945861626655	368	125	b04__roi_025	identity_clear_miss	identity_clear_within_6px
local_standardization	367	125	3	-5	5.830951894845301	0.9369235478655197	1.1783945861626655	368	125	b04__roi_025	identity_clear_miss	identity_clear_within_6px
raw	341	207	4	-2	4.47213595499958	0.8479850256428464	1.4568142411035796	342	207	b04__roi_023	identity_collision	other_identity_collision
cs_parzen_ica	339	205	2	-4	4.47213595499958	0.8479850256428464	1.4568142411035796	342	207	b04__roi_023	identity_collision	other_identity_collision
local_standardization	342	207	5	-2	5.385164807134504	0.8479850256428464	1.4568142411035796	342	207	b04__roi_023	identity_collision	other_identity_collision
raw	437	153	-4	-5	6.4031242374328485	1.0	0.0	437	153	b02__roi_012	identity_collision	other_identity_collision
cs_parzen_ica	437	153	-4	-5	6.4031242374328485	1.0	0.0	437	153	b02__roi_012	identity_collision	other_identity_collision
local_standardization	437	153	-4	-5	6.4031242374328485	1.0	0.0	437	153	b02__roi_012	identity_collision	other_identity_collision
