background_window_id	background_dataset_id	recording_id	background_mad_stratum	quiet_policy	start_frame_zero	stop_frame_zero_exclusive	y_zero	x_zero	height	width	manifest_temporal_mad	recomputed_sampling_contract_temporal_mad	recomputed_full_resolution_temporal_mad	temporal_mad_absolute_error	pair_count	global_forward_valid_fraction	forward_backward_valid_fraction	global_translation_median_px	global_translation_p95_px	forward_backward_closure_median_px	forward_backward_closure_p95_px	forward_backward_consistency_status	two_step_cycle_valid_fraction	two_step_cycle_closure_median_px	two_step_cycle_closure_p95_px	search_boundary_pair_fraction	tile_forward_valid_fraction_median	tile_bidirectional_valid_fraction_median	tile_global_disagreement_median_px	tile_global_disagreement_p95_px	raw_difference_mad_median	raw_difference_mad_support_contract	raw_difference_mad_matched_support_median	registered_residual_mad_median	registered_raw_mad_support_contract	matched_support_pixel_fraction_median	matched_support_pixel_fraction_minimum	registered_over_raw_difference_mad_ratio	registered_difference_reduction_fraction_median	motion_raw_change_spearman_within_window	frame_median_relative_change_theil_sen	stored_dtype	stored_low_code_fraction	stored_high_code_fraction	observed_minimum_stored_code	observed_maximum_stored_code	analog_sensor_rail_status	analog_sensor_rail_reason	local_translation_reliability_status	local_translation_reliability_reasons	forward_backward_review_trigger	raw_hc_source_on_micro_recall	raw_hc_intervention_micro_recall	raw_hc_source_on_macro_recall	raw_hc_intervention_macro_recall	raw_hc_source_on_seed_sd_mean	raw_hc_source_on_seed_range_mean	raw_hc_center_delta_median	raw_hc_fixture_count	raw_hc_injected_source_count	jepa_background_rms_ratio	jepa_dynamic_mad_ratio	jepa_seam_to_interior_jump_ratio	random_background_rms_ratio	random_dynamic_mad_ratio	random_seam_to_interior_jump_ratio	full_field_context_global_translation_p95_px	local_window_to_full_field_p95_ratio
060126_10_rest__window_1_low_mad	060126	060126_10_rest	low_mad	held_recording_label_free_background	1179	1211	89	0	64	64	16.3085994720459	16.3085994720459	17.04990005493164	0.0	31	0.6451612903225806	0.6451612903225806	6.525140084517069	8.079464510277393	0.0	4.2500725161431786e-17	structurally_symmetric_not_independent	0.36666666666666664	4.86524374242729	15.227194520317767	0.1935483870967742	1.0	1.0	6.62212553606175	13.03495753068329	25.2042	full_frame_standalone_diagnostic_not_ratio_denominator	25.2042	24.022565411313135	exact_same_shift_valid_interior_per_pair	0.5625	0.4306640625	0.9570906585237433	0.042909341476256746	0.3164456729364475	0.0	uint16	0.0	0.0	128	284	unresolved	ADC_bit_depth_detector_black_level_gain_and_clipping_metadata_absent	review_required	low_global_pair_valid_fraction;search_boundary_concentration;large_tile_to_global_disagreement;small_registered_difference_reduction	false	0.42857142857142855	0.9047619047619048	0.5	0.9166666666666666	0.19641855032959654	0.4166666666666667	2.011286550369356	9	21	3.7224407392974763	1.3625840065684773	1.6859149511053853	1.6598395290169563	1.1744376754888346	1.4946555628109361	0.24431752319890337	33.069525282064
060126_10_rest__window_2_median_mad	060126	060126_10_rest	median_mad	held_recording_label_free_background	565	597	201	371	64	64	42.995399475097656	42.995399475097656	44.47800064086914	0.0	31	0.967741935483871	0.967741935483871	3.5551016542467435	9.086964407739496	1.734723475976807e-18	4.517502768245504e-16	structurally_symmetric_not_independent	0.7	7.425766824639354	14.874049347185942	0.12903225806451613	1.0	1.0	4.103798655036333	11.084476355283002	65.2344	full_frame_standalone_diagnostic_not_ratio_denominator	65.2344	65.27235801608077	exact_same_shift_valid_interior_per_pair	0.68603515625	0.4306640625	1.0016871722915979	-0.0016871722915979825	-0.2112928078944344	0.015376984126984124	uint16	0.0	0.0	442	1275	unresolved	ADC_bit_depth_detector_black_level_gain_and_clipping_metadata_absent	review_required	search_boundary_concentration;large_tile_to_global_disagreement;small_registered_difference_reduction	false	0.14285714285714285	0.9523809523809523	0.1111111111111111	0.9722222222222222	0.1178511301977579	0.25	1.9391035851996583	9	21	1.8607345231888737	1.125018651813622	3.6715855032548825	1.09677564197155	1.0315450633691696	2.317706696326062	0.24431752319890337	37.19325690913145
060126_10_rest__window_3_high_mad	060126	060126_10_rest	high_mad	held_recording_label_free_background	1077	1109	28	710	64	64	83.02559661865234	83.02559661865234	85.24949645996094	0.0	31	0.8709677419354839	0.8709677419354839	1.287896488913947	6.022361246080841	5.551115123125783e-17	3.9412917374193045e-16	structurally_symmetric_not_independent	0.7333333333333333	3.710782546340045	7.722880752224042	0.0	1.0	1.0	3.30758368499417	9.907020756430478	124.5384	full_frame_standalone_diagnostic_not_ratio_denominator	127.50359999999999	123.16503367143957	exact_same_shift_valid_interior_per_pair	0.765625	0.5166015625	0.9634603467420064	0.036539653257993576	0.2736260447173694	0.0	uint16	0.0	0.0	1179	3589	unresolved	ADC_bit_depth_detector_black_level_gain_and_clipping_metadata_absent	review_required	large_tile_to_global_disagreement;small_registered_difference_reduction	false	0.38095238095238093	0.9523809523809523	0.4166666666666667	0.9722222222222222	0.27498597046143514	0.5833333333333334	1.6790168002783363	9	21	1.3010690578242456	1.042481294936873	2.261567647439346	1.030455922009009	1.0084035337347599	1.8289590565103178	0.24431752319890337	24.64973108448683
060126_12_left__window_1_low_mad	060126	060126_12_left	low_mad	held_recording_label_free_background	646	678	53	9	64	64	17.04990005493164	17.04990005493164	17.79119873046875	0.0	31	0.8387096774193549	0.8387096774193549	4.754085479255314	8.014286701129809	0.0	3.885780586188048e-16	structurally_symmetric_not_independent	0.5333333333333333	9.053309769045413	13.111209052702618	0.12903225806451613	1.0	1.0	6.108493545450477	12.444072609585046	25.2042	full_frame_standalone_diagnostic_not_ratio_denominator	25.2042	24.001679160872797	exact_same_shift_valid_interior_per_pair	0.6103515625	0.47265625	0.9543647357057464	0.045635264294253575	0.20077262020519696	-0.02719298245614035	uint16	0.0	0.0	128	273	unresolved	ADC_bit_depth_detector_black_level_gain_and_clipping_metadata_absent	review_required	search_boundary_concentration;large_tile_to_global_disagreement;small_registered_difference_reduction	false	0.23809523809523808	0.9523809523809523	0.2222222222222222	0.9722222222222222	0.21465018361979293	0.5	1.8523966894640336	9	21	3.645512528919928	1.377800979189685	1.700947711135969	1.5855961512344419	1.1875046881493718	1.5128697712061463	0.41270671673817955	19.418842427549002
060126_12_left__window_2_median_mad	060126	060126_12_left	median_mad	held_recording_label_free_background	581	613	618	863	64	64	40.77149963378906	40.77149963378906	40.77149963378906	0.0	31	0.7096774193548387	0.7096774193548387	5.39867081148668	8.470760092408836	0.0	1.0685896612017126e-16	structurally_symmetric_not_independent	0.3	8.451084650098872	14.9280307928228	0.0967741935483871	1.0	1.0	6.39605650331727	13.268440568790297	57.8214	full_frame_standalone_diagnostic_not_ratio_denominator	57.8214	55.28803011039638	exact_same_shift_valid_interior_per_pair	0.58642578125	0.4306640625	0.9495424943572649	0.0504575056427351	0.43596730318496535	0.02136089577950043	uint16	0.0	0.0	291	873	unresolved	ADC_bit_depth_detector_black_level_gain_and_clipping_metadata_absent	review_required	low_global_pair_valid_fraction;large_tile_to_global_disagreement;small_registered_difference_reduction	false	0.42857142857142855	0.9523809523809523	0.4722222222222222	0.9722222222222222	0.27498597046143514	0.5833333333333334	1.9953411273179604	9	21	1.802635735554742	1.1469820652317395	3.589206565667526	1.1345881889138485	1.051609584724744	2.5459939874493216	0.41270671673817955	20.52489031280456
060126_12_left__window_3_high_mad	060126	060126_12_left	high_mad	held_recording_label_free_background	40	72	47	663	64	64	88.2146987915039	88.2146987915039	89.69729614257812	0.0	31	1.0	1.0	1.0473256466774994	5.75968236654549	2.7755575615628914e-17	2.229086047453109e-16	structurally_symmetric_not_independent	0.9666666666666667	1.9392018127449189	6.68350856866169	0.0	1.0	1.0	2.4153578499116914	7.867382650754249	123.05579999999999	full_frame_standalone_diagnostic_not_ratio_denominator	124.5384	118.2883668456756	exact_same_shift_valid_interior_per_pair	0.765625	0.5166015625	0.9498144094164981	0.050185590583501916	0.029699159043189687	-0.01546761653775742	uint16	0.0	0.0	1244	4095	unresolved	ADC_bit_depth_detector_black_level_gain_and_clipping_metadata_absent	review_required	large_tile_to_global_disagreement;small_registered_difference_reduction	false	0.047619047619047616	0.9047619047619048	0.05555555555555555	0.9444444444444444	0.07856742013183861	0.16666666666666666	0.9753950974833232	9	21	1.2900000765224866	1.0385007368797654	2.4801924391492736	1.0426170290111008	1.0034923833875462	1.7901638195397245	0.41270671673817955	13.955872615951202
060126_15_right__window_1_low_mad	060126	060126_15_right	low_mad	held_recording_label_free_background	748	780	27	41	64	64	17.79119873046875	17.79119873046875	18.532499313354492	0.0	31	0.45161290322580644	0.45161290322580644	6.3629298907751775	8.534717197465513	0.0	2.999376665900687e-16	structurally_symmetric_not_independent	0.1	6.542157250015371	7.096780472485712	0.16129032258064516	1.0	1.0	7.092492584175423	14.082567843668045	25.2042	full_frame_standalone_diagnostic_not_ratio_denominator	25.2042	24.148523793685392	exact_same_shift_valid_interior_per_pair	0.5634765625	0.4306640625	0.9419380329658908	0.05806196703410915	0.11779224879003657	0.0	uint16	0.0	0.0	126	292	unresolved	ADC_bit_depth_detector_black_level_gain_and_clipping_metadata_absent	review_required	low_global_pair_valid_fraction;search_boundary_concentration;large_tile_to_global_disagreement;small_registered_difference_reduction	true	0.23809523809523808	0.9047619047619048	0.3055555555555556	0.9166666666666666	0.2251762220076544	0.5	2.248914951686855	9	21	3.6224551220587715	1.3793011869887382	1.6956795740588346	1.634087253161246	1.18257528914478	1.5210275914497846	0.5428859282673224	15.7210138503773
060126_15_right__window_2_median_mad	060126	060126_15_right	median_mad	held_recording_label_free_background	1515	1547	449	148	64	64	37.80630111694336	37.80630111694336	40.03020095825195	0.0	31	0.7741935483870968	0.7741935483870968	5.208469569038442	8.559750090715875	0.0	4.1078251911130745e-16	structurally_symmetric_not_independent	0.4666666666666667	7.545311431301688	17.106633849348174	0.06451612903225806	1.0	1.0	6.190379615122309	13.474946190390071	50.4084	full_frame_standalone_diagnostic_not_ratio_denominator	50.4084	48.391992451326956	exact_same_shift_valid_interior_per_pair	0.6103515625	0.4306640625	0.9591082871890333	0.04089171281096676	0.04606207910412581	-0.12642621404997642	uint16	0.0	0.0	220	888	unresolved	ADC_bit_depth_detector_black_level_gain_and_clipping_metadata_absent	review_required	low_global_pair_valid_fraction;large_tile_to_global_disagreement;small_registered_difference_reduction	false	0.0	0.5238095238095238	0.0	0.5	0.0	0.0	-0.36106749547842604	9	21	1.1476648305882429	1.085957937406348	3.2451585824959626	1.0093639720470742	1.0379171281960833	2.1190521597339647	0.5428859282673224	15.767124629726945
060126_15_right__window_3_high_mad	060126	060126_15_right	high_mad	held_recording_label_free_background	1388	1420	269	391	64	64	94.14509582519531	94.14509582519531	94.88639831542969	0.0	31	0.8709677419354839	0.8709677419354839	1.909611057078603	9.11106376107138	0.0	6.883382752675966e-16	structurally_symmetric_not_independent	0.7666666666666667	3.532259693037468	10.13755868638814	0.06451612903225806	1.0	1.0	3.6139298653722163	12.066361283257432	78.5778	full_frame_standalone_diagnostic_not_ratio_denominator	78.5778	74.34529023615623	exact_same_shift_valid_interior_per_pair	0.765625	0.4306640625	0.9461360617904323	0.0538639382095677	-0.027582198676947545	-0.18853296193129063	uint16	0.0	0.0	477	2425	unresolved	ADC_bit_depth_detector_black_level_gain_and_clipping_metadata_absent	review_required	large_tile_to_global_disagreement;small_registered_difference_reduction	false	0.0	0.7142857142857143	0.0	0.7222222222222222	0.0	0.0	0.6010181536905208	9	21	0.8408440970764168	1.053238868049106	2.7775175877780813	0.8828431969181783	1.0158493199055803	2.156704429658456	0.5428859282673224	16.782648594614155
spon_ca_burst_3_hindbrain_to_tail_488_20ms__window_1_low_mad	spon_ca_burst	spon_ca_burst_3_hindbrain_to_tail_488_20ms	low_mad	outside_registered_spon_bursts	221	253	2	8	64	64	22.98029899597168	22.98029899597168	25.204198837280273	0.0	31	0.8709677419354839	0.8709677419354839	3.212554581581198	6.281187291531563	1.0587499293714891e-17	7.549516567451061e-16	structurally_symmetric_not_independent	0.5	6.013117364098881	11.959054008999093	0.0	1.0	1.0	5.083563543001892	12.66414732253039	37.065	full_frame_standalone_diagnostic_not_ratio_denominator	37.065	34.19120947247453	exact_same_shift_valid_interior_per_pair	0.66015625	0.5166015625	0.9457192300129998	0.054280769987000155	0.012335134242111894	-0.01570415400202634	uint16	0.0	0.0	172	423	unresolved	ADC_bit_depth_detector_black_level_gain_and_clipping_metadata_absent	review_required	large_tile_to_global_disagreement;small_registered_difference_reduction	false	0.09523809523809523	0.9523809523809523	0.05555555555555555	0.9722222222222222	0.039283710065919304	0.08333333333333333	1.4465601122922456	9	21	2.507176361700765	1.1982545239488576	1.7210026557122817	1.2717686076209724	1.0724969137270388	1.679894167559172		
