training_seed	fixture_id	background_recording_id	background_window_id	injection_seed	source_count	crowding_case	method	score_input_units	source_on_recall	source_on_recovered	source_on_candidate_count	source_on_unmatched_candidate_count_unknown	injected_sources	intervention_recall	intervention_candidate_count	intervention_unmatched_candidate_count_unknown	median_center_delta_background_mad	maximum_pair_closure_absolute	maximum_pair_closure_float32_ulp
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	1	single	compact_jepa_latent_temporal_change	frozen_training_robust_normalized	0.0	0	2	2	1	0.0	4	4	-0.002967726596506237	1.49135976243997e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	1	single	compact_jepa_masked_prediction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	1	0.0	4	4	-0.002776082331422236	1.49135976243997e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	1	single	frozen_handcrafted_stack	raw_native_units	1.0	1	4	3	1	1.0	4	3	3.2015655481122796	1.49135976243997e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	1	single	frozen_random_encoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	3	3	1	0.0	4	4	-0.00415335717941101	1.49135976243997e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	1	single	masked_pixel_autoencoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	1	0.0	4	4	-0.01074743127835509	1.49135976243997e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	1	single	masked_pixel_autoencoder_reconstruction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	1	1.0	4	3	0.25376372215476106	1.49135976243997e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	1	single	compact_jepa_latent_temporal_change	frozen_training_robust_normalized	0.0	0	1	1	1	0.0	4	4	-0.006915742973758965	7.62939453125e-06	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	1	single	compact_jepa_masked_prediction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	1	0.0	4	4	0.05330822381839284	7.62939453125e-06	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	1	single	frozen_handcrafted_stack	raw_native_units	1.0	1	4	3	1	1.0	4	3	2.359130199367708	7.62939453125e-06	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	1	single	frozen_random_encoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	1	0.0	4	4	-0.008781521336085785	7.62939453125e-06	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	1	single	masked_pixel_autoencoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	1	0.0	4	4	-0.023274584352911187	7.62939453125e-06	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	1	single	masked_pixel_autoencoder_reconstruction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	1	1.0	4	3	1.8366307000262998	7.62939453125e-06	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	1	single	compact_jepa_latent_temporal_change	frozen_training_robust_normalized	0.0	0	2	2	1	0.0	4	4	-0.017039378375450276	1.2252654414623976e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	1	single	compact_jepa_masked_prediction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	1	0.0	4	4	0.02271460918161794	1.2252654414623976e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	1	single	frozen_handcrafted_stack	raw_native_units	0.0	0	4	4	1	1.0	4	3	-0.06571411533862515	1.2252654414623976e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	1	single	frozen_random_encoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	1	0.0	4	4	-0.02313022671288692	1.2252654414623976e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	1	single	masked_pixel_autoencoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	1	0.0	4	4	0.0011393904855750009	1.2252654414623976e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_1__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	1	single	masked_pixel_autoencoder_reconstruction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	1	1.0	4	3	2.1762152996995745	1.2252654414623976e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	2	separated	compact_jepa_latent_temporal_change	frozen_training_robust_normalized	0.0	0	2	2	2	0.0	4	4	-0.010479235777899984	1.491003786213696e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	2	separated	compact_jepa_masked_prediction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	2	0.5	4	3	0.052896419074208806	1.491003786213696e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	2	separated	frozen_handcrafted_stack	raw_native_units	0.5	1	4	3	2	1.0	4	2	1.0320310785839188	1.491003786213696e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	2	separated	frozen_random_encoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	2	0.0	4	4	-0.0016661583583492262	1.491003786213696e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	2	separated	masked_pixel_autoencoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	2	0.0	4	4	-0.05047868387103366	1.491003786213696e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	2	separated	masked_pixel_autoencoder_reconstruction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	2	1.0	4	2	1.313875527986586	1.491003786213696e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	2	overlap	compact_jepa_latent_temporal_change	frozen_training_robust_normalized	0.0	0	2	2	2	0.0	4	4	-0.004670838056996918	1.1444091796875e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	2	overlap	compact_jepa_masked_prediction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	2	0.5	4	3	0.05878451805365098	1.1444091796875e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	2	overlap	frozen_handcrafted_stack	raw_native_units	0.5	1	4	3	2	0.5	4	3	2.7081153906307005	1.1444091796875e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	2	overlap	frozen_random_encoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	3	3	2	0.0	4	4	-0.03261842070529558	1.1444091796875e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	2	overlap	masked_pixel_autoencoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	2	0.5	4	3	0.03598293429714139	1.1444091796875e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	2	overlap	masked_pixel_autoencoder_reconstruction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	2	0.5	4	3	2.114127802720385	1.1444091796875e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	2	near_neighbor	compact_jepa_latent_temporal_change	frozen_training_robust_normalized	0.0	0	2	2	2	0.0	4	4	-0.015038771175386434	7.62939453125e-06	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	2	near_neighbor	compact_jepa_masked_prediction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	2	0.5	4	3	0.13751642373736167	7.62939453125e-06	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	2	near_neighbor	frozen_handcrafted_stack	raw_native_units	0.5	1	4	3	2	1.0	4	2	2.011286550369356	7.62939453125e-06	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	2	near_neighbor	frozen_random_encoder_latent_temporal_change	frozen_training_robust_normalized	0.5	1	4	3	2	0.0	4	4	-0.007907269746610823	7.62939453125e-06	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	2	near_neighbor	masked_pixel_autoencoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	2	0.0	4	4	0.03934352200291086	7.62939453125e-06	0.5
1001	060126_10_rest__window_1_low_mad__sources_2__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	2	near_neighbor	masked_pixel_autoencoder_reconstruction_error_secondary	frozen_training_robust_normalized	0.5	1	4	3	2	1.0	4	2	1.1284249964988697	7.62939453125e-06	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	4	separated	compact_jepa_latent_temporal_change	frozen_training_robust_normalized	0.25	1	2	1	4	0.25	4	3	-0.0015213085085292732	1.4610170183004811e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	4	separated	compact_jepa_masked_prediction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	4	0.75	4	1	0.07995015215527607	1.4610170183004811e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	4	separated	frozen_handcrafted_stack	raw_native_units	0.5	2	4	2	4	1.0	4	0	2.1257480442088514	1.4610170183004811e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	4	separated	frozen_random_encoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	4	0.0	4	4	-0.000892550438497175	1.4610170183004811e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	4	separated	masked_pixel_autoencoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	4	0.25	4	3	-0.024179033134587496	1.4610170183004811e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3101	060126_10_rest	060126_10_rest__window_1_low_mad	3101	4	separated	masked_pixel_autoencoder_reconstruction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	4	1.0	4	0	1.3367304964160343	1.4610170183004811e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	4	overlap	compact_jepa_latent_temporal_change	frozen_training_robust_normalized	0.0	0	2	2	4	0.25	4	3	0.0008679541499180266	1.3321638107299805e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	4	overlap	compact_jepa_masked_prediction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	4	0.5	4	2	0.05370828802925687	1.3321638107299805e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	4	overlap	frozen_handcrafted_stack	raw_native_units	0.25	1	4	3	4	1.0	4	0	1.3009925780128115	1.3321638107299805e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	4	overlap	frozen_random_encoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	4	0.0	4	4	-0.004114351738073951	1.3321638107299805e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	4	overlap	masked_pixel_autoencoder_latent_temporal_change	frozen_training_robust_normalized	0.25	1	4	3	4	0.25	4	3	0.07253095713699395	1.3321638107299805e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3102	060126_10_rest	060126_10_rest__window_1_low_mad	3102	4	overlap	masked_pixel_autoencoder_reconstruction_error_secondary	frozen_training_robust_normalized	0.25	1	4	3	4	0.75	4	1	1.092212611893955	1.3321638107299805e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	4	near_neighbor	compact_jepa_latent_temporal_change	frozen_training_robust_normalized	0.0	0	2	2	4	0.0	4	4	-0.00868212392747475	1.4357443433254957e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	4	near_neighbor	compact_jepa_masked_prediction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	4	0.25	4	3	0.07504615353949046	1.4357443433254957e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	4	near_neighbor	frozen_handcrafted_stack	raw_native_units	0.25	1	4	3	4	0.75	4	1	0.4439486522348285	1.4357443433254957e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	4	near_neighbor	frozen_random_encoder_latent_temporal_change	frozen_training_robust_normalized	0.25	1	4	3	4	0.0	4	4	0.0007326762838810383	1.4357443433254957e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	4	near_neighbor	masked_pixel_autoencoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	4	0.0	4	4	0.008061725133785336	1.4357443433254957e-05	0.5
1001	060126_10_rest__window_1_low_mad__sources_4__seed_3103	060126_10_rest	060126_10_rest__window_1_low_mad	3103	4	near_neighbor	masked_pixel_autoencoder_reconstruction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	4	0.75	4	1	0.9819013400921726	1.4357443433254957e-05	0.5
1001	060126_10_rest__window_2_median_mad__sources_1__seed_3101	060126_10_rest	060126_10_rest__window_2_median_mad	3101	1	single	compact_jepa_latent_temporal_change	frozen_training_robust_normalized	0.0	0	2	2	1	1.0	4	3	0.15629492007386503	5.897691153222695e-05	0.5
1001	060126_10_rest__window_2_median_mad__sources_1__seed_3101	060126_10_rest	060126_10_rest__window_2_median_mad	3101	1	single	compact_jepa_masked_prediction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	1	1.0	4	3	0.09776258936034976	5.897691153222695e-05	0.5
1001	060126_10_rest__window_2_median_mad__sources_1__seed_3101	060126_10_rest	060126_10_rest__window_2_median_mad	3101	1	single	frozen_handcrafted_stack	raw_native_units	0.0	0	4	4	1	1.0	4	3	1.069308762923567	5.897691153222695e-05	0.5
1001	060126_10_rest__window_2_median_mad__sources_1__seed_3101	060126_10_rest	060126_10_rest__window_2_median_mad	3101	1	single	frozen_random_encoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	1	1.0	4	3	0.14608865835528273	5.897691153222695e-05	0.5
1001	060126_10_rest__window_2_median_mad__sources_1__seed_3101	060126_10_rest	060126_10_rest__window_2_median_mad	3101	1	single	masked_pixel_autoencoder_latent_temporal_change	frozen_training_robust_normalized	0.0	0	4	4	1	1.0	4	3	0.060758901720284086	5.897691153222695e-05	0.5
1001	060126_10_rest__window_2_median_mad__sources_1__seed_3101	060126_10_rest	060126_10_rest__window_2_median_mad	3101	1	single	masked_pixel_autoencoder_reconstruction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	1	1.0	4	3	0.6941786479781393	5.897691153222695e-05	0.5
1001	060126_10_rest__window_2_median_mad__sources_1__seed_3102	060126_10_rest	060126_10_rest__window_2_median_mad	3102	1	single	compact_jepa_latent_temporal_change	frozen_training_robust_normalized	0.0	0	2	2	1	0.0	4	4	0.011263643323500272	6.091594696044922e-05	0.5
1001	060126_10_rest__window_2_median_mad__sources_1__seed_3102	060126_10_rest	060126_10_rest__window_2_median_mad	3102	1	single	compact_jepa_masked_prediction_error_secondary	frozen_training_robust_normalized	0.0	0	4	4	1	0.0	4	4	0.0979516582144071	6.091594696044922e-05	0.5
