fixture_id	method	method_short	background_recording_id	background_window_id	mad_stratum	injection_seed	source_count	crowding_case	source_index	morphology	truth_center_y	truth_center_x	source_on_truth_center_score_z	intervention_truth_center_score_z	source_on_native_full_pixel_rank	source_on_native_full_pixel_count	source_on_local_pixel_rank	source_on_local_pixel_count	intervention_local_pixel_rank	source_on_top4_cutoff_score_z	source_on_top4_cutoff_margin_z	source_on_strongest_outside_match_radius_score_z	source_on_strongest_outside_match_radius_margin_z	source_on_strongest_outside_match_radius_distance_px	source_on_top4_min_distance_to_truth_px	source_on_top4_displaced	source_on_recovered	intervention_recovered	classification	native_candidates_semantics
060126_10_rest__window_1_low_mad__sources_1__seed_3101	raw_frozen_handcrafted_stack	raw	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3101	1	single	0	crescent	40	41	3.977637628049545	3.2015655481122796	2	4096	1	49	1	3.558248937942302	0.419388690107243	4.0909068668819755	-0.11326923883243056	28.42534080710379	0.0	False	True	True	recovered_source_on	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_1__seed_3101	jepa_conditional_pixel_residual_frozen_handcrafted_stack	jepa_residual	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3101	1	single	0	crescent	40	41	0.3770564513500625	0.22113553442404243	1439	4096	23	49	22	2.688188968326022	-2.3111325169759596	3.3164907774569246	-2.939434326106862	31.144823004794873	31.144823004794873	True	False	True	native_background_competition	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_1__seed_3101	random_encoder_conditional_pixel_residual_frozen_handcrafted_stack	random_residual	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3101	1	single	0	crescent	40	41	2.4672938858133695	2.0109341530660734	68	4096	8	49	1	3.518569501033111	-1.0512756152197413	4.0211978895685885	-1.553904003755219	19.924858845171276	19.4164878389476	True	False	True	native_background_competition	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_1__seed_3102	raw_frozen_handcrafted_stack	raw	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3102	1	single	0	ellipse	29	49	3.9129626606963814	2.359130199367708	5	4096	4	49	3	3.558248937942302	0.35471372275407953	4.0909068668819755	-0.17794420618559403	32.202484376209235	2.23606797749979	False	True	True	recovered_source_on	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_1__seed_3102	jepa_conditional_pixel_residual_frozen_handcrafted_stack	jepa_residual	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3102	1	single	0	ellipse	29	49	3.494184312081896	1.8492492234220705	2	4096	2	49	2	2.8326314631440006	0.6615528489378955	3.2664978610357007	0.22768645104619534	39.81205847478876	1.4142135623730951	False	True	True	recovered_source_on	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_1__seed_3102	random_encoder_conditional_pixel_residual_frozen_handcrafted_stack	random_residual	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3102	1	single	0	ellipse	29	49	0.7360864122113056	1.476614984054696	1028	4096	16	49	3	3.4990956293647453	-2.7630092171534395	3.917316255577362	-3.181229843366056	16.1245154965971	2.0	False	True	True	recovered_source_on	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_1__seed_3103	raw_frozen_handcrafted_stack	raw	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3103	1	single	0	crescent	48	12	3.3611311474139445	-0.06571411533862515	10	4096	1	49	40	3.474147491956623	-0.11301634454267839	4.0909068668819755	-0.729775719468031	51.97114584074513	38.07886552931954	True	False	True	native_background_competition	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_1__seed_3103	jepa_conditional_pixel_residual_frozen_handcrafted_stack	jepa_residual	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3103	1	single	0	crescent	48	12	2.274486530859446	1.6894337776481994	44	4096	8	49	2	2.710647112815366	-0.43616058195592	3.2504866610697545	-0.9760001302103083	11.180339887498949	2.0	False	True	True	recovered_source_on	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_1__seed_3103	random_encoder_conditional_pixel_residual_frozen_handcrafted_stack	random_residual	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3103	1	single	0	crescent	48	12	1.2912148681364568	1.6382371175724648	494	4096	4	49	1	3.4797574972779928	-2.188542629141536	4.004927311935773	-2.7137124437993156	35.4682957019364	31.304951684997057	True	False	True	native_background_competition	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_2__seed_3101	raw_frozen_handcrafted_stack	raw	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3101	2	separated	0	ellipse	52	20	3.7620762298039505	0.8428423746960099	6	4096	2	49	9	3.599202089459877	0.16287414034407366	4.0909068668819755	-0.32883063707802496	43.41658669218482	1.4142135623730951	False	True	True	recovered_source_on	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_2__seed_3101	raw_frozen_handcrafted_stack	raw	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3101	2	separated	1	crescent	11	24	2.374142325437302	1.221219782471828	88	4096	4	49	11	3.599202089459877	-1.2250597640225749	4.0909068668819755	-1.7167645414446735	61.07372593840988	21.840329667841555	True	False	True	native_background_competition	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_2__seed_3101	jepa_conditional_pixel_residual_frozen_handcrafted_stack	jepa_residual	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3101	2	separated	0	ellipse	52	20	1.807107434889688	1.3751470367603613	111	4096	4	49	4	2.6765185074055076	-0.8694110725158195	3.317450338328011	-1.510342903438323	18.027756377319946	12.165525060596439	True	False	True	native_background_competition	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_2__seed_3101	jepa_conditional_pixel_residual_frozen_handcrafted_stack	jepa_residual	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3101	2	separated	1	crescent	11	24	-0.2663043880123056	0.6497731813952267	2494	4096	21	49	8	2.6765185074055076	-2.9428228954178133	3.317450338328011	-3.5837547263403167	29.5296461204668	15.811388300841896	True	False	True	native_background_competition	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_2__seed_3101	random_encoder_conditional_pixel_residual_frozen_handcrafted_stack	random_residual	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3101	2	separated	0	ellipse	52	20	1.5595359444172354	0.6166616104903561	343	4096	8	49	16	3.484900124036627	-1.9253641796193914	4.091216732556994	-2.5316807881397585	34.438350715445125	32.55764119219941	True	False	True	native_background_competition	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_2__seed_3101	random_encoder_conditional_pixel_residual_frozen_handcrafted_stack	random_residual	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3101	2	separated	1	crescent	11	24	2.1902623875610203	1.5037815955075216	113	4096	6	49	7	3.484900124036627	-1.2946377364756065	4.091216732556994	-1.9009543449959736	14.866068747318506	9.219544457292887	True	False	True	native_background_competition	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_2__seed_3102	raw_frozen_handcrafted_stack	raw	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3102	2	overlap	0	ellipse	30	30	2.056500204289427	1.3590578924646857	162	4096	11	49	20	3.558248937942302	-1.501748733652875	4.0909068668819755	-2.0344066625925485	43.278170016764804	1.4142135623730951	False	False	False	attenuation_or_response_failure	unknown_not_negative
060126_10_rest__window_1_low_mad__sources_2__seed_3102	raw_frozen_handcrafted_stack	raw	060126_10_rest	060126_10_rest__window_1_low_mad	low_mad	3102	2	overlap	1	crescent	32	31	4.760884517158066	4.057172888796715	5	4096	5	49	4	3.558248937942302	1.2026355792157637	4.0909068668819755	0.6699776502760901	41.23105625617661	1.0	False	True	True	recovered_source_on	unknown_not_negative
